organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
"ce Chipembi RHC Chamuka B						",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Chamuka B						",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Chamuka C	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Chamuka C	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe A						",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe A						",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe B				",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe B				",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Kabangwe C,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Kabangwe C,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe D						",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Kabangwe D						",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Kabangwe E,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Kabangwe E,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe A					",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe A					",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe B				",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe B				",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe C						",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moombe C						",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moomboshi B	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Moomboshi B	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Suse A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Suse A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Suse B	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Suse B	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Suse C	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Suse C	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi Rural Health Centre,July 2025,,,,,,,,,,,,,,,,,,,,,,0,19,,,,,,,,,,,
ce Chipembi Rural Health Centre,August 2025,,,,,,,,,,,,,,,,,,,,,,0,19,,,,,,,,,,,
ce Chisamba District,August 2025,"2,855",189,792,599,670,,55,28,29,1,1,,56,28,28,508,"1,230",48,22,27,,0,155,35,2,119,35,5,4,1,46,22,27,"1,449"
ce Chisamba District,July 2025,"4,117",250,"1,042",974,675,,74,38,36,,,,74,38,36,493,562,115,53,62,,0,155,84,10,288,94,2,1,,113,55,59,"1,501"
ce Kanakantapa RHC  Muwila,July 2025,30,,4,1,2,,2,1,1,,,,2,1,1,1,,,,,,0,1,,,1,,,,,,,,
ce Kanakantapa RHC  Muwila,August 2025,30,,4,,2,,1,1,,,,,1,1,,,,,,,,0,1,,1,,,,,,,,,
ce Kanakantapa RHC Chamapepe,August 2025,30,,2,2,1,,,,,,,,,,,13,,,,,,0,1,,,2,,,,,,,,10
ce Kanakantapa RHC Chamapepe,July 2025,30,,2,2,1,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Hayama,August 2025,30,,,,,,1,,1,,,,1,,,3,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Hayama,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Kabuyu A,July 2025,30,,3,3,3,,,,,,,,,,,3,,,,,,0,1,,,1,,,,,,,,10
ce Kanakantapa RHC Kabuyu A,August 2025,30,,3,2,3,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Kabuyu B,July 2025,30,1,,2,,,,,,,,,,,,3,,,,,,0,1,3,,6,3,,,,,,,20
ce Kanakantapa RHC Kabuyu B,August 2025,30,,,1,1,,,,,,,,,,,13,,,,,,0,1,1,,1,1,,,,,,,20
ce Kanakantapa RHC Kalilika,July 2025,40,4,3,1,3,,,,,,,,,,,2,,,,,,0,1,,,1,,,,,,,,10
ce Kanakantapa RHC Kalilika,August 2025,40,,,,,,1,,1,,,,1,,1,10,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Kalundu,August 2025,,2,1,,3,,,,,,,,,,,1,,1,1,,,0,1,,,,,,,,1,1,,
ce Kanakantapa RHC Kalundu,July 2025,10,,2,,3,,1,,1,,,,1,,1,2,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Kamasanda,August 2025,,,1,,,,5,3,2,,,,5,3,2,,,,,,,0,1,1,,1,1,,,,,,,
ce Kanakantapa RHC Kamasanda,July 2025,30,3,3,3,2,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Kangalangala,July 2025,,,,,2,,1,1,,,,,1,1,,,,2,1,1,,0,1,7,,7,7,1,1,,1,1,1,
ce Kanakantapa RHC Kangalangala,August 2025,20,2,3,,1,,3,1,2,,,,3,1,2,,,1,1,,,0,1,2,,4,2,1,1,,1,1,,
ce Kanakantapa RHC Kangalangala B,July 2025,10,,,,,,1,1,,,,,1,1,,,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Kangalangala B,August 2025,10,,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
ce Kanakantapa RHC Kanongo A,August 2025,,,,2,1,,5,2,3,,,,5,2,3,,,,,,,0,1,,,4,,,,,,,,
ce Kanakantapa RHC Kanongo A,July 2025,30,,1,1,1,,1,1,,,,,1,1,,,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Kanongo B,July 2025,,,4,4,3,,1,1,,,,,1,1,,2,,1,,1,,0,1,,,2,,,,,1,,1,
ce Kanakantapa RHC Kanongo B,August 2025,30,,4,4,3,,1,,1,,,,1,,1,70,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Kapini,August 2025,10,,4,,2,,,,,,,,,,,2,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Kapini,July 2025,10,,4,,2,,,1,,,,,1,1,,2,,3,1,2,,0,1,,,,,,,,3,1,2,10
ce Kanakantapa RHC Katelele,July 2025,10,5,,1,5,,,,,,,,,,,3,,2,1,1,,0,1,1,,3,1,,,,2,1,1,10
ce Kanakantapa RHC Katelele,August 2025,20,5,,,5,,4,1,3,,,,4,1,3,5,,2,,2,,0,1,,,3,,,,,2,,2,1
ce Kanakantapa RHC Katuba,August 2025,10,1,2,,1,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Katuba,July 2025,10,,,24,,,,,,,,,,,,3,,,,,,0,1,4,,5,4,,,,,,,10
ce Kanakantapa RHC Mayoko,July 2025,30,,,,,,,,,,,,,,,2,,,,,,0,1,2,,2,2,,,,,,,10
ce Kanakantapa RHC Mayoko,August 2025,30,,,,,,,,,,,,,,,2,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Mudenda,July 2025,20,,2,,3,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Mudenda,August 2025,20,,2,,3,,,,,,,,,,,13,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Mulimba,July 2025,30,,,1,1,,1,,1,,,,1,,1,,,,,,,0,1,1,,1,1,,,,,,,
ce Kanakantapa RHC Mulimba,August 2025,10,,,2,3,,2,1,1,,,,2,1,1,4,,,,,,0,1,,,,,,,,,,,30
ce Kanakantapa RHC Muntemba,July 2025,30,,,,,,,,,,,,,,,3,,,,,,0,1,2,,5,2,,,,,,,10
ce Kanakantapa RHC Muntemba,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Mutakwa A,August 2025,20,,2,3,2,,,,,,,,,,,3,,,,,,0,1,,,3,,,,,,,,10
ce Kanakantapa RHC Mutakwa A,July 2025,20,,2,3,2,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Mutakwa B,August 2025,20,,3,1,4,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Mutakwa B,July 2025,,,3,1,4,,1,1,,,,,1,1,,,,,,,,0,1,,,1,,,,,,,,
ce Kanakantapa RHC Muyobo,August 2025,30,,3,2,3,,1,1,,,,,1,1,,3,,,,,,0,1,,,2,,,,,,,,10
ce Kanakantapa RHC Muyobo,July 2025,30,,3,2,3,,,,,,,,,,,3,,,,,,0,1,,,,,,,,,,,10
ce Kanakantapa RHC Mweemba,July 2025,30,,3,3,2,,1,1,,,,,1,1,,1,,,,,,0,1,2,,2,2,,,,,,,
ce Kanakantapa RHC Mweemba,August 2025,30,,,,2,,2,1,1,,,,2,1,1,1,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa RHC Shintemba,July 2025,20,,4,2,1,,1,,1,,,,1,,1,1,,1,,1,,0,1,1,,3,1,,,,1,,1,
ce Kanakantapa RHC Shintemba,August 2025,20,,4,2,1,,,,,,,,,,,1,,,,,,0,1,,,,,,,,,,,
ce Kanakantapa Rural Health Centre,July 2025,480,13,43,54,43,,11,8,4,,,,12,8,4,43,,9,3,6,,0,25,23,,40,23,1,1,,8,3,6,140
ce Kanakantapa Rural Health Centre,August 2025,470,10,38,21,41,,26,11,15,,,,26,11,14,153,,4,2,2,,0,25,4,1,21,4,1,1,,4,2,2,151
ce Kaputi HP Central,August 2025,,10,5,,30,,,,,,,,,,,6,,,,,,0,1,,,,,,,,,,,70
ce Kaputi HP Central,July 2025,,10,5,,30,,3,2,1,,,,3,2,1,7,,,,,,0,1,,,,,,,,,,,70
ce Kaputi HP Chiwala,July 2025,,2,10,3,28,,1,1,,,,,1,1,,8,,,,,,0,1,,,,,,,,,,,90
ce Kaputi HP Chiwala,August 2025,,2,9,,27,,,,,,,,,,,8,,,,,,0,1,,,,,,,,,,,90
ce Kaputi HP Kalaswa,July 2025,10,5,,,30,,,,,,,,,,,10,,1,1,,,0,1,,,2,,,,,1,1,,100
ce Kaputi HP Kalaswa,August 2025,10,5,10,,30,,,,,,,,,,,10,,,,,,0,1,,,,,,,,,,,100
ce Kaputi HP Kalubangwe,July 2025,120,,3,,30,,,,,,,,,,,10,,,,,,0,1,,,,,,,,,,,100
ce Kaputi HP Kalubangwe,August 2025,120,3,5,,30,,,,,,,,,,,10,,,,,,0,1,,,,,,,,,,,100
ce Kaputi HP Luano,July 2025,,,,5,2,,,,,,,,,,,6,,,,,,0,1,,,,,,,,,,,90
ce Kaputi HP Luano,August 2025,,,,2,,,,,,,,,,,,90,,,,,,0,1,,,,,,,,,,,9
ce Kaputi HP Milulu ,August 2025,,9,7,,29,,6,4,2,1,1,,6,4,2,,,,,,,0,1,,,,,,,,,,,
ce Kaputi HP Milulu ,July 2025,,9,7,5,29,,1,,,,,,,,,,,,,,,0,1,,,,,,,,,,,30
ce Kaputi HP Muntemba,August 2025,,5,10,,28,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,50
ce Kaputi HP Muntemba,July 2025,,5,10,,28,,,,,,,,,,,,,,,,,0,1,,,3,,,,,,,,50
ce Kaputi HP Musumpuka,July 2025,13,3,6,,28,,,,,,,,,,,10,,1,1,,,0,1,,,,,1,,,1,1,,100
ce Kaputi HP Musumpuka,August 2025,13,3,6,,28,,,,,,,,,,,10,,,,,,0,1,,,,,,,,,,,100
ce Kaputi Health Post,July 2025,143,34,41,13,205,,5,3,1,,,,4,3,1,51,,2,2,,,0,9,,,5,,1,,,2,2,,630
ce Kaputi Health Post,August 2025,143,37,52,2,202,,6,4,2,1,1,,6,4,2,134,,,,,,0,9,,,,,,,,,,,519
ce Lifwambula Health Post,July 2025,,2,154,170,8,,,,,,,,,,,,,,,,,0,19,18,,47,18,,,,,,,
ce Lifwambula Health Post,August 2025,,3,98,178,30,,,,,,,,,,,,,,,,,0,19,1,,23,1,,,,,,,
"ce Lifwambula RHP Chilupu A		",August 2025,,,,28,,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
"ce Lifwambula RHP Chilupu A		",July 2025,,1,,28,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Chilupu B			",August 2025,,,18,,,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
"ce Lifwambula RHP Chilupu B			",July 2025,,,22,,,,,,,,,,,,,,,,,,,0,1,,,3,,,,,,,,
"ce Lifwambula RHP Chilupu C			",July 2025,,,,15,,,,,,,,,,,,,,,,,,0,1,1,,4,1,,,,,,,
"ce Lifwambula RHP Chilupu C			",August 2025,,,,6,,,,,,,,,,,,,,,,,,0,1,,,6,,,,,,,,
"ce Lifwambula RHP Chipandaike A					",August 2025,,1,,23,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Chipandaike A					",July 2025,,,,21,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Chipandaike B		 ",July 2025,,,24,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Chipandaike B		 ",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Chipandaike C				",August 2025,,,10,,1,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Chipandaike C				",July 2025,,,24,,,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
"ce Lifwambula RHP Chipandaike D				",August 2025,,,,24,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Chipandaike D				",July 2025,,,25,,6,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Kabakombo A	",August 2025,,,,13,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Kabakombo A	",July 2025,,,,16,,,,,,,,,,,,,,,,,,0,1,4,,7,4,,,,,,,
"ce Lifwambula RHP Kabakombo B			",August 2025,,,9,,,,,,,,,,,,,,,,,,,0,1,1,,2,1,,,,,,,
"ce Lifwambula RHP Kabakombo B			",July 2025,,,,,1,,,,,,,,,,,,,,,,,0,1,5,,7,5,,,,,,,
"ce Lifwambula RHP Kabakombo C				",August 2025,,,,25,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Kabakombo C				",July 2025,,,,25,,,,,,,,,,,,,,,,,,0,1,,,4,,,,,,,,
"ce Lifwambula RHP Kabakombo D					",July 2025,,,5,,,,,,,,,,,,,,,,,,,0,1,6,,8,6,,,,,,,
"ce Lifwambula RHP Kabakombo D					",August 2025,,1,8,,1,,,,,,,,,,,,,,,,,0,1,,,4,,,,,,,,
"ce Lifwambula RHP Lifwambula A					",August 2025,,,27,,1,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Lifwambula A					",July 2025,,,27,,1,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
"ce Lifwambula RHP Lifwambula B			 ",August 2025,,,,25,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Lifwambula B			 ",July 2025,,,,25,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Lifwambula C			",August 2025,,1,,20,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Lifwambula C			",July 2025,,,,24,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Lifwambula D	 				",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Lifwambula D	 				",August 2025,,,25,,1,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
"ce Lifwambula RHP Liwesa		",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
"ce Lifwambula RHP Liwesa		",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Lifwambula RHP Momboshi A				",August 2025,,,,,26,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Momboshi A				",July 2025,,1,26,,,,,,,,,,,,,,,,,,,0,1,,,3,,,,,,,,
"ce Lifwambula RHP Momboshi B				",August 2025,,,1,14,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
"ce Lifwambula RHP Momboshi B				",July 2025,,,1,16,,,,,,,,,,,,,,,,,,0,1,1,,4,1,,,,,,,
ce Makeni Health Post,July 2025,"3,210",,162,,,,21,9,12,,,,21,9,12,100,165,44,18,26,,0,8,10,,48,11,,,,44,18,26,90
ce Makeni Health Post,August 2025,"2,100",,125,,,,11,5,6,,,,11,5,6,56,820,36,16,20,,0,8,4,,16,4,,,,36,16,20,178
"ce Makeni RHP Bushcut 	",July 2025,420,,25,,,,7,3,4,,,,7,3,4,10,,4,1,3,,0,1,4,,20,4,,,,4,1,3,
"ce Makeni RHP Bushcut 	",August 2025,400,,1,,,,2,2,,,,,2,2,,6,820,1,,1,,0,1,,,5,,,,,1,,1,40
"ce Makeni RHP Kamano 	",August 2025,810,,27,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,8
"ce Makeni RHP Kamano 	",July 2025,810,,27,,,,1,1,,,,,1,1,,8,165,,,,,0,1,,,6,,,,,,,,90
"ce Makeni RHP Makeni 	",July 2025,690,,26,,,,2,1,1,,,,2,1,1,8,,5,1,4,,0,1,,,1,1,,,,5,1,4,
"ce Makeni RHP Makeni 	",August 2025,530,,22,,,,3,2,1,,,,3,2,1,4,,8,6,2,,0,1,3,,5,3,,,,8,6,2,40
"ce Makeni RHP Munyama 			",August 2025,20,,22,,,,2,,2,,,,2,,2,14,,2,1,1,,0,1,,,3,,,,,2,1,1,
"ce Makeni RHP Munyama 			",July 2025,500,,24,,,,,,,,,,,,,20,,,,,,0,1,3,,6,3,,,,,,,
"ce Makeni RHP Mweemba A	",July 2025,,,24,,,,4,1,3,,,,4,1,3,12,,35,16,19,,0,1,,,1,,,,,35,16,19,
"ce Makeni RHP Mweemba A	",August 2025,,,20,,,,1,1,,,,,1,1,,8,,22,9,13,,0,1,1,,3,1,,,,22,9,13,90
"ce Makeni RHP Mweemba B	",July 2025,500,,23,,,,,,,,,,,,,20,,,,,,0,1,3,,7,3,,,,,,,
"ce Makeni RHP Mweemba B	",August 2025,90,,20,,,,1,,1,,,,1,,1,8,,1,,1,,0,1,,,,,,,,1,,1,
"ce Makeni RHP Shibwato 	",July 2025,290,,13,,,,7,3,4,,,,7,3,4,22,,,,,,0,1,,,7,,,,,,,,
"ce Makeni RHP Shibwato 	",August 2025,250,,13,,,,2,,2,,,,2,,2,16,,2,,2,,0,1,,,,,,,,2,,2,
ce Malombe Rural Health Centre,July 2025,84,114,115,111,110,,16,6,10,,,,16,6,10,109,,41,19,22,,0,30,,,,,,,,41,22,19,111
ce Malombe Rural Health Centre,August 2025,,,,,,,,,,,,,,,,,,,,,,0,30,,,,,,,,,,,
ce Malombe Rural Health Centre Lubulanzuki,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Lubulanzuki,July 2025,,5,5,5,5,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Luyando A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Malombe Rural Health Centre Luyando A,July 2025,1,5,5,5,5,,1,1,,,,,1,1,,4,,5,3,2,,0,1,,,,,,,,5,3,2,5
ce Malombe Rural Health Centre Luyando B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
