organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
no Kasama HP Kasama Zone B 3,August 2025,,29,,30,28,,,,,,,,,,,46,818,,,,,0,1,2,,2,2,,,,,,,58
no Kasama HP Kasama Zone B 3,July 2025,,30,,30,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Kasama HP Milungu,August 2025,,20,,17,23,,1,,1,,,,1,,1,18,30,2,1,1,,0,1,4,,4,4,,,,1,2,1,28
no Kasama HP Milungu,July 2025,,5,,9,26,,2,1,1,,,,2,1,1,19,30,10,5,5,,0,1,4,,4,4,,,,10,5,5,299
no Kasama HP Miyongolo A,August 2025,,3,,6,2,,,,,,,,,,,16,120,,,,,0,1,1,,1,1,,,,,,,60
no Kasama HP Miyongolo A,July 2025,,19,,22,23,,,,,,,,,,,16,604,,,,,0,1,,,6,,,,,,,,60
no Kasama HP Miyongolo B,July 2025,300,29,26,29,29,,,,,,,,,,,60,547,9,2,7,,0,1,,,,,,,,9,5,2,60
no Kasama HP Miyongolo B,August 2025,20,4,9,7,3,,4,2,2,,,,4,2,2,56,,,,,,0,1,4,,10,4,,,,,,,56
no Kasama Health Post,August 2025,730,169,69,114,86,,8,3,5,,,,8,3,5,380,"3,472",16,6,10,,0,9,11,,22,11,,,,15,8,10,476
no Kasama Health Post,July 2025,"2,480",366,142,230,364,,4,2,2,,,,4,2,2,845,"10,423",46,21,33,,0,9,14,,44,14,,,,54,24,28,"1,528"
no Kasonde Mutokwa  Health Post,August 2025,55,56,,,,,3,,3,,,,3,,3,264,,1,,1,,0,5,12,,46,12,,,,,,1,460
no Kasonde Mutokwa  Health Post,July 2025,60,60,,,,,5,1,4,,,,5,1,4,278,,2,2,,,0,5,20,,49,20,,,,2,2,,475
no Kasonde Mutokwa HP Chanda Chileshe,July 2025,60,15,,,,,,,,,,,,,,25,,2,2,,,0,1,4,,18,4,,,,2,2,,100
no Kasonde Mutokwa HP Chanda Chileshe,August 2025,55,,,,,,,,,,,,,,,25,,1,,1,,0,1,4,,14,4,,,,,,1,100
no Kasonde Mutokwa HP K'Mutokwa,July 2025,,23,,,,,,,,,,,,,,25,,,,,,0,1,,,6,,,,,,,,100
no Kasonde Mutokwa HP K'Mutokwa,August 2025,,23,,,,,,,,,,,,,,25,,,,,,0,1,,,,,,,,,,,100
no Kasonde Mutokwa HP Lupungu,July 2025,,5,,,,,2,,2,,,,2,,2,44,,,,,,0,1,5,,11,5,,,,,,,90
no Kasonde Mutokwa HP Lupungu,August 2025,,30,,,,,,,,,,,,,,44,,,,,,0,1,2,,8,2,,,,,,,90
no Kasonde Mutokwa HP Makumba,August 2025,,,,,,,2,,2,,,,2,,2,90,,,,,,0,1,4,,9,4,,,,,,,90
no Kasonde Mutokwa HP Makumba,July 2025,,11,,,,,,,,,,,,,,100,,,,,,0,1,8,,11,8,,,,,,,100
no Kasonde Mutokwa HP Malale,August 2025,,3,,,,,1,,1,,,,1,,1,80,,,,,,0,1,2,,15,2,,,,,,,80
no Kasonde Mutokwa HP Malale,July 2025,,6,,,,,3,1,2,,,,3,1,2,84,,,,,,0,1,3,,3,3,,,,,,,85
no Lukashi HP Chikalipa,July 2025,1,10,9,9,34,,3,2,1,,,,3,2,1,120,,7,4,3,,0,1,14,,30,14,,,,7,4,3,37
no Lukashi HP Chikalipa,August 2025,,37,37,,37,,1,1,,,,,1,1,,118,,28,13,15,,0,1,17,,41,41,,,,28,13,15,35
no Lukashi HP Chituku,July 2025,2,16,33,53,34,,,,,,,,,,,30,,8,3,5,,0,1,9,,24,9,,,,8,3,5,20
no Lukashi HP Chituku,August 2025,60,,,21,,,,,,,,,,,,30,,8,7,1,,0,1,21,,50,21,,,,8,7,1,20
no Lukashi HP Kalikeka,July 2025,20,,13,13,,,3,2,1,,,,3,2,1,100,,3,1,2,,0,1,4,,11,4,,,,3,1,2,20
no Lukashi HP Kalikeka,August 2025,20,,11,10,,,,,,,,,,,,100,,,,,,0,1,1,,6,2,,,,,,,20
no Lukashi HP Kanwa,July 2025,15,,24,25,,,,,,,,,,,,100,,4,2,2,,0,1,6,,13,6,,,,4,2,2,30
no Lukashi HP Kanwa,August 2025,,,10,11,17,,,,,,,,,,,180,,11,4,7,,0,1,17,,33,17,,,,11,4,7,20
no Lukashi HP Muchanga,July 2025,10,,9,4,,,1,1,,,,,1,1,,100,,3,2,1,,0,1,6,,9,6,,,,3,2,1,20
no Lukashi HP Muchanga,August 2025,,,,30,,,1,,1,,,,1,,1,,,4,3,1,,0,1,2,,6,2,,,,4,3,1,
no Lukashi HP Muyotemenwe,August 2025,,,,,7,,,,,,,,,,,,,12,5,7,,0,1,35,,65,35,,,,12,5,7,
no Lukashi HP Muyotemenwe,July 2025,,,,,,,,,,,,,,,,20,,7,5,2,,0,1,10,,16,10,,,,7,5,2,20
no Lukashi HP Namfumu,July 2025,6,6,,10,,,1,,1,,,,1,,1,98,,4,1,3,,0,1,,,7,,,,,4,1,3,19
no Lukashi HP Namfumu,August 2025,,22,,22,26,,3,1,2,,,,3,1,2,94,,8,2,6,,0,1,10,,16,10,,,,8,2,6,17
no Lukashi HP Selu,July 2025,8,,10,4,,,2,1,1,,,,2,1,1,100,,4,3,1,,0,1,3,,7,3,,,,4,3,1,20
no Lukashi HP Selu,August 2025,20,13,,,,,,,,,,,,,,100,,9,5,4,,0,1,16,,24,6,,,,9,5,4,20
no Lukashi HP Shombo,July 2025,4,,10,6,,,2,1,1,,,,2,1,1,100,,2,1,1,,0,1,4,,6,4,,,,2,1,1,20
no Lukashi HP Shombo,August 2025,50,4,,30,30,,,,,,,,,,,98,,7,,7,,0,1,,,,,,,,7,3,4,18
no Lukashi Health Post,July 2025,66,32,108,124,68,,12,7,5,,,,12,7,5,768,,42,22,20,,0,9,56,,123,56,,,,42,22,20,206
no Lukashi Health Post,August 2025,150,76,58,124,117,,5,2,3,,,,5,2,3,720,,87,39,48,,0,9,119,,241,134,,,,87,42,45,150
no Lukupa RHC  Lukupa A,July 2025,10,,,26,,,,,,,,,,,,10,,1,,1,,0,1,4,,4,4,,,,1,,1,10
no Lukupa RHC  Lukupa A,August 2025,8,,,21,,,,,,,,,,,,10,,1,1,,,0,1,3,,4,3,,,,1,1,,10
no Lukupa RHC Chafwa A,August 2025,10,13,,,,,1,,1,,,,1,,1,8,,1,,1,,0,1,9,,18,9,,,,1,,1,9
no Lukupa RHC Chafwa A,July 2025,11,,,3,,,,,,,,,,,,10,,9,2,7,,0,1,3,,8,3,,,,9,2,7,10
no Lukupa RHC Chafwa B,August 2025,5,,,16,,,,,,,,,,,,8,,4,3,1,,0,1,1,,3,1,,,,4,3,1,9
no Lukupa RHC Chafwa B,July 2025,12,,,26,,,1,,1,,,,1,,1,8,,,,,,0,1,1,,6,1,,,,,,,9
no Lukupa RHC Lukupa B,August 2025,2,,,15,,,,,,,,,,,,8,8,,,,,0,1,3,,5,3,,,,,,,10
no Lukupa RHC Lukupa B,July 2025,20,,,15,,,1,1,,,,,1,1,,8,,5,3,2,,0,1,5,,13,5,,,,5,3,2,10
no Lukupa RHC Lukupa C,August 2025,4,50,,32,,,,,,,,,,,,10,,1,1,,,0,1,1,,7,1,,,,1,1,,10
no Lukupa RHC Lukupa C,July 2025,9,,,15,,,,,,,,,,,,10,,,,3,,0,1,2,,2,2,,,,3,,3,10
no Lukupa RHC Milambo A,July 2025,1,,,26,,,,,,,,,,,,10,,21,15,6,,0,1,1,,17,1,,,,21,15,6,10
no Lukupa RHC Milambo A,August 2025,44,,,20,,,1,1,,,,,1,1,,8,,6,5,1,,0,1,2,,9,2,,,,6,5,1,9
no Lukupa RHC Milambo B,August 2025,2,,,2,,,,,,,,,,,,6,,11,4,7,,0,1,,,5,,,,,11,4,4,8
no Lukupa RHC Milambo B,July 2025,19,,,28,,,,,,,,,,,,10,,16,8,8,,0,1,1,,10,1,,,,16,8,8,10
no Lukupa RHC Onole,August 2025,11,,,6,,,1,,1,,,,1,,1,6,,,,,,0,1,6,,18,6,,,,,,,7
no Lukupa RHC Onole,July 2025,11,,,11,,,1,,1,,,,1,,1,8,,1,1,,,0,1,6,,17,6,,,,1,1,,8
no Lukupa Rural Health Centre,July 2025,93,,,150,,,3,1,2,,,,3,1,2,74,,53,29,27,,0,8,23,,77,23,,,,56,29,27,77
no Lukupa Rural Health Centre,August 2025,86,63,,112,,,3,1,2,,,,3,1,2,64,8,24,14,10,,0,8,25,,69,25,,,,24,14,7,72
no Milima RHC Henry Kapata A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,3,,,,,,,,
no Milima RHC Henry Kapata A,August 2025,,12,,,,,2,,2,,,,2,,2,8,150,,,,,0,1,,,1,,,,,,,,
no Milima RHC Henry Kapata B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
no Milima RHC Henry Kapata B,August 2025,,19,,,1,,,,,,,,,,,,63,,,,,0,1,2,1,2,1,,,,,,,
no Milima RHC Henry Kapata C,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
no Milima RHC Henry Kapata C,August 2025,,13,,,1,,,,,,,,,,,,,,,,,0,1,1,,3,1,,,,,,,
no Milima RHC Kafwala A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,2,,,,,,,,
no Milima RHC Kafwala A,August 2025,,24,,,1,,,,,,,,,,,,,,,,,0,1,2,,6,2,,,,,,,
no Milima RHC Kafwala B,August 2025,,21,,,1,,,,,,,,,,,,,,,,,0,1,3,,4,3,,,,,,,
no Milima RHC Kafwala B,July 2025,,,,,1,,,,,,,,,,,,,,,,,0,1,,,4,,,,,,,,
no Milima RHC Mibanga A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
no Milima RHC Mibanga A,August 2025,,6,,,,,,,,,,,,,,10,,,,,,0,1,2,,8,2,,,,,,,
no Milima RHC Mibanga B,July 2025,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Mibanga B,August 2025,,19,,,,,,,,,,,,,,11,,,,,,0,1,,,5,,,,,,,,
no Milima RHC Misolo A,July 2025,,,1,,,,,,,,,,,,,,,,,,,0,1,1,,2,1,,,,,,,
no Milima RHC Misolo A,August 2025,,20,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
no Milima RHC Misolo B,August 2025,,2,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Misolo B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Muimbwe A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
no Milima RHC Muimbwe A,August 2025,,19,,,,,2,1,1,,,,2,1,1,4,,,,,,0,1,1,,1,1,,,,,,,
no Milima RHC Muimbwe B,August 2025,,17,,,1,,2,2,,,,,2,2,,6,,,,,,0,1,1,,5,1,,,,,,,
no Milima RHC Muimbwe B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,
no Milima RHC Muimbwe C,August 2025,,23,,,,,2,2,,,,,2,2,,6,,,,,,0,1,1,,6,1,,,,,,,
no Milima RHC Muimbwe C,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,,1,1,,,,,,,
no Milima RHC Mukanko A,August 2025,,25,,,1,,4,3,1,,,,4,3,1,5,10,5,1,4,,0,1,6,,14,6,,,,5,1,4,
no Milima RHC Mukanko A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Mukanko B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Mukanko B,August 2025,1,15,,,2,,6,5,1,1,,1,6,5,1,3,9,2,2,,,0,1,5,,6,5,,,,2,2,,
no Milima RHC Prisons Camp ,August 2025,,24,,,1,,,,,,,,,,,,,,,,,0,1,2,,2,2,,,,,,,
no Milima RHC Prisons Camp ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Safeli Chituta A ,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,1,,2,1,,,,,,,
no Milima RHC Safeli Chituta A ,August 2025,,7,,,,,,,,,,,,,,,,,,,,0,1,4,,4,4,,,,,,,
no Milima RHC Safeli Chituta B,August 2025,,19,,,,,,,,,,,,,,,,,,,,0,1,,,3,,,,,,,,
no Milima RHC Safeli Chituta B,July 2025,,1,,,,,,,,,,,,,,,,,,,,0,1,,,4,,,,,,,,
no Milima RHC Sume A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Milima RHC Sume A,August 2025,,7,,,,,,,,,,,,,,,,,,,,0,1,4,,4,4,,,,,,,
no Milima RHC Sume B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,1,,,,,,,,
no Milima RHC Sume B,August 2025,,25,,,,,,,,,,,,,,10,,,,,,0,1,3,,11,3,,,,,,,
no Milima Rural Health Centre,July 2025,,1,1,,2,,,,,,,,,,,,,,,,,0,19,7,2,24,5,,,,,,,
no Milima Rural Health Centre,August 2025,1,317,,,9,,18,13,5,1,,1,18,13,5,63,232,7,3,4,,0,19,37,1,86,36,,,,7,3,4,
no Misambo HP Chiwala A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Chiwala A,July 2025,14,30,,,20,,2,1,1,,,,2,1,1,36,62,,,,,0,1,10,,10,10,,,,,,,6
no Misambo HP Chiwala B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Chiwala B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Misambo A,July 2025,12,30,,,21,,1,,1,,,,1,,1,36,51,,,,,0,1,9,,15,9,,,,,,,5
no Misambo HP Misambo A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Misambo B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Misambo B,July 2025,14,30,,,22,,,,,,,,,,,45,65,,,,,0,1,8,,12,8,,,,,,,6
no Misambo HP Mwafi A,July 2025,15,30,,,23,,,,,,,,,,,45,55,,,,,0,1,7,,13,7,,,,,,,5
no Misambo HP Mwafi A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Mwafi B,July 2025,12,30,,,23,,,,,,,,,,,43,51,,,,,0,1,7,,13,7,,,,,,,5
no Misambo HP Mwafi B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Raphael Mubanga A,July 2025,12,30,,,24,,1,1,,,,,1,1,,39,48,,,,,0,1,6,,10,6,,,,,,,4
no Misambo HP Raphael Mubanga A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Raphael Mubanga B,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misambo HP Raphael Mubanga B,July 2025,14,30,,,21,,,,,,,,,,,45,55,,,,,0,1,9,,14,9,,,,,,,4
no Misambo Health Post,August 2025,,,,,,,,,,,,,,,,,,,,,,0,8,,,,,,,,,,,
no Misambo Health Post,July 2025,93,210,,,154,,4,2,2,,,,4,2,2,289,387,,,,,0,8,56,,87,56,,,,,,,35
no Misengo RHC Chela Munakila,August 2025,,,,14,,,,,,,,,,,,,,,,,,0,1,1,,3,1,,,,,,,
no Misengo RHC Chela Munakila,July 2025,,,,19,,,,,,,,,,,,,,,,,,0,1,6,,9,6,,,,,,,
no Misengo RHC Chibangula,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Chibangula,August 2025,30,,,14,,,,,,,,,,,,10,960,,,,,0,1,1,,1,1,,,,,,,
no Misengo RHC Chipundu,August 2025,23,,,23,,,,,,,,,,,,10,973,,,,,0,1,,,,2,,,,,,,
no Misengo RHC Chipundu,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Chishitu,August 2025,23,,,24,,,1,1,,,,,1,1,,9,940,,,,,0,1,1,,1,1,,,,,,,
no Misengo RHC Chishitu,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Chuma Nga'nga,August 2025,,,,,,,4,3,1,,,,4,3,1,,,,,,,0,1,8,,8,8,,,,,,,
no Misengo RHC Chuma Nga'nga,July 2025,,,,18,,,,,,,,,,,,,,,,,,0,1,7,,8,7,,,,,,,
no Misengo RHC Jackson,July 2025,,,,20,,,,,,,,,,,,,,,,,,0,1,4,,4,4,,,,,,,
no Misengo RHC Jackson,August 2025,15,,,,,,5,3,2,,,,5,3,2,8,967,,,,,0,1,12,,12,12,,,,,,,
no Misengo RHC Kalolesha,July 2025,,,,21,,,,,,,,,,,,,,,,,,0,1,5,,6,5,,,,,,,
no Misengo RHC Kalolesha,August 2025,22,,,13,,,1,1,,,,,1,1,,9,922,,,,,0,1,4,,6,4,,,,,,,
no Misengo RHC Kaoma,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Kaoma,August 2025,27,,,27,,,,,,,,,,,,10,960,2,1,1,,0,1,2,,3,2,,,,2,1,1,
no Misengo RHC Kaseketi,July 2025,,,,12,,,,,,,,,,,,,,,,,,0,1,6,,6,6,,,,,,,
no Misengo RHC Kaseketi,August 2025,,,,6,,,,,,,,,,,,,,1,,1,,0,1,3,,8,3,1,,1,,,1,
no Misengo RHC Kasonde Mudala,August 2025,,,,8,,,2,1,1,,,,2,1,1,,,,,,,0,1,5,,10,5,,,,,,,
no Misengo RHC Kasonde Mudala,July 2025,,,,20,,,,,,,,,,,,,,,,,,0,1,8,,11,8,,,,,,,
no Misengo RHC Kumbi,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Kumbi,August 2025,,,,18,,,2,,2,,,,2,,2,,,,,,,0,1,2,,3,2,,,,,,,
no Misengo RHC Misengo A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Misengo A,August 2025,30,,,,,,,,,,,,,,,10,"1,000",,,,,0,1,,,,,,,,,,,
no Misengo RHC Misengo B,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Misengo B,August 2025,,,,15,,,,,,,,,,,,,,,,,,0,1,7,,12,7,,,,,,,
no Misengo RHC Musa,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Musa,August 2025,,,,4,,,,,,,,,,,,,,,,,,0,1,7,,13,7,,,,,,,
no Misengo RHC Musoboyo,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Misengo RHC Musoboyo,August 2025,,,,6,,,,,,,,,,,,,,,,,,0,1,16,,16,16,,,,,,,
no Misengo RHC Musuku,August 2025,,,,18,,,,,,,,,,,,,,,,,,0,1,1,,2,1,,,,,,,
no Misengo RHC Musuku,July 2025,,,,19,,,,,,,,,,,,,,,,,,0,1,3,,5,3,,,,,,,
no Misengo Rural Health Centre,July 2025,,,,129,,,,,,,,,,,,,,,,,,0,16,39,,49,39,,,,,,,
no Misengo Rural Health Centre,August 2025,170,,,190,,,15,9,6,,,,15,9,6,66,"6,722",3,1,2,,0,16,70,,98,72,1,,1,2,1,2,
no Mulanshi RHC Chalo Bantu,July 2025,18,20,,19,,,,,,,,,,,,15,31,,,,,0,1,2,,6,3,,,,,,,11
no Mulanshi RHC Chalo Bantu,August 2025,36,10,,5,12,,,,,,,,,,,30,50,,,,,0,1,,,,,,,,,,,20
no Mulanshi RHC Chibote,July 2025,25,3,,5,,,,,,,,,,,,25,20,,,,,0,1,3,,5,3,,,,,,,10
no Mulanshi RHC Chibote,August 2025,36,10,,5,12,,,,,,,,,,,30,40,,,,,0,1,,,,,,,,,,,20
no Mulanshi RHC Chipinuka,July 2025,21,25,,,,,10,4,6,,,,10,4,6,15,18,,,,,0,1,,,,,,,,,,,11
no Mulanshi RHC Chipinuka,August 2025,18,,,,,,5,,5,,,,5,,5,25,50,,,,,0,1,3,,6,3,,,,,,,10
no Mulanshi RHC Kalafya,July 2025,18,18,,17,,,,,,,,,,,,11,31,1,,1,,0,1,1,,2,1,1,,1,1,,1,12
no Mulanshi RHC Kalafya,August 2025,,11,,11,15,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Mulanshi RHC Kasani,August 2025,24,,,18,12,,,,,,,,,,,15,67,,,,,0,1,7,,12,7,,,,,,,12
no Mulanshi RHC Kasani,July 2025,18,12,,8,,,,,,,,,,,,21,40,,,,,0,1,7,,2,7,,,,,,,11
no Mulanshi RHC Kawama,July 2025,10,,10,15,,,,,,,,,,,,21,30,,,,,0,1,6,,,4,,,,,,,11
no Mulanshi RHC Kawama,August 2025,40,,,,,,,,,,,,,,,31,48,,,,,0,1,5,,5,5,,,,,,,27
no Mulanshi RHC Mukopa A,July 2025,22,,,14,15,,4,3,1,,,,4,3,1,31,40,,,,,0,1,,,,,,,,,,,12
no Mulanshi RHC Mukopa A,August 2025,16,,,,,,1,,1,,,,1,,1,15,47,,,,,0,1,1,,1,1,,,,,,,7
no Mulanshi RHC Mukopa B,August 2025,,,3,12,4,,4,2,2,,,,4,2,2,4,20,,,,,0,1,3,,9,9,,,,,,,
